City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
552,itamaraju,-17.0392,-39.5311,20.35,94,100,3.68,BR,1689905709
553,kabalo,-6.05,26.9167,23.95,40,17,0.87,CD,1689905774
554,port douglas,-16.4833,145.4667,24.08,67,75,3.4,AU,1689905890
555,tolanaro,-25.0319,46.9987,19.23,87,74,4.16,MG,1689905890
556,fort st. john,56.2499,-120.8529,26.94,32,75,3.09,CA,1689905891
557,laborde,-33.1532,-62.8566,11.57,58,80,7.25,AR,1689905891
558,altpinar,39.2042,32.7478,20.7,44,0,2.58,TR,1689905891
559,lamu,-2.2717,40.902,26.12,85,9,7.41,KE,1689905892
560,surin,14.8818,103.4936,27.73,99,89,2.53,TH,1689905893
561,guerrero negro,27.9769,-114.0611,20.44,81,21,9.22,MX,1689905893
562,bel ombre,-4.6167,55.4167,25.91,83,40,6.17,SC,1689905894
563,atasu,48.6814,71.6433,25.68,30,96,2.08,KZ,1689905894
564,cadale,2.7603,46.3222,25.2,88,97,9.46,SO,1689905895
565,puerto deseado,-47.7503,-65.8938,9.85,67,100,11.82,AR,1689905895
566,oban,56.4127,-5.4706,8.54,90,16,1.66,GB,1689905896
567,posto fiscal rolim de moura,-13.0833,-62.2667,22.84,55,0,0.09,BR,1689905896
568,kilkeel,54.062,-6.0031,10.93,89,99,3.94,GB,1689905897
569,sokoni,-6.4333,39.55,25.49,80,0,7.28,TZ,1689905897
570,anloga,5.7947,0.8973,25.33,88,69,5.92,GH,1689905898
571,paracuru,-3.41,-39.0306,25.06,74,0,7.88,BR,1689905898
572,klaksvik,62.2266,-6.589,9.51,97,100,7.4,FO,1689905899
573,taguatinga,-12.3857,-46.5711,21.95,42,0,3.83,BR,1689905899
574,enewetak,11.3474,162.3373,28.16,82,94,7.73,MH,1689905900
575,birao,10.2849,22.7882,22.15,95,89,1.53,CF,1689905900
576,north elba,44.2434,-73.9543,16.86,87,3,2.0,US,1689905900
577,homer,59.6425,-151.5483,16.54,79,40,6.69,US,1689905721
578,tromso,69.6496,18.957,10.01,87,100,2.06,NO,1689905901
579,mournies,35.4764,24.0092,28.79,61,0,0.0,GR,1689905901
580,whitecourt,54.1502,-115.6855,25.58,50,75,0.0,CA,1689905709
581,mancio lima,-7.6142,-72.8958,25.09,68,67,0.79,BR,1689905902
582,wladyslawowo,54.7909,18.4009,13.08,88,10,6.09,PL,1689905902
583,ingleside,27.8778,-97.2117,29.46,85,0,4.12,US,1689905903
584,paka,4.6374,103.4368,27.96,78,20,1.54,MY,1689905903
585,welkom,-27.9864,26.7066,6.31,72,88,7.57,ZA,1689905904
586,taroa,8.7058,171.2275,28.42,83,72,9.14,MH,1689905905
